AGF;FCN;1-2;Other data;
BIF;OBK;3-0;Other data;
FCK;RFC;1-0;Other data;
HIF;SIF;1-2;Other data;
LBK;VBK;0-0;Other data;
FCM;AGF;0-0;Other data;
