Abbreviation;Club name;Special;;
AGF;AGF;;;
BIF;Brøndby;;;
FCK;Copenhagen;W;;
HIF;Hvidovre IF;P;;
LBK;Lyngby;;;
FCM;Midtjylland;;;
FCN;Nordsjælland;;;
OBK;OB;;;
RFC;Randers;;;
SIF;Silkeborg;;;
VBK;Vejle Boldklub;P;;
VFF;Viborg;;;
