AGF;BIF;3-2;Other data;
BIF;FCK;1-0;Other data;
FCK;HIF;5-2;Other data;
HIF;LBK;0-1;Other data;
LBK;FCM;0-0;Other data;
FCM;FCN;0-2;Other data;
