HIF;AGF;1-0;Other data;
LBK;BIF;0-0;Other data;
FCM;FCK;4-0;Other data;
FCN;HIF;2-0;Other data;
OBK;LBK;2-2;Other data;
RFC;FCM;3-0;Other data;
