"filename", "language", "C#", "CSV", "comment", "blank", "total"
"c:\KEA\VSC_projects\cs projects\football\CSV-files\SL\teams.csv", "CSV", 0, 0, 0, -1, -1
"c:\KEA\VSC_projects\cs projects\football\DataHandler.cs", "C#", 44, 0, 1, 2, 47
"c:\KEA\VSC_projects\cs projects\football\League.cs", "C#", 4, 0, 0, 0, 4
"Total", "-", 48, 0, 1, 1, 50
