FCF;FC Fredericia;;
FCH;FC Helsingør;;
AaB;AaB;;
HBK;HB Køge;;
ACH;AC Horsens;P;
HOB;Hobro IK;;
NBK;Næstved BK;P;
B.93;B.93;;
HIL;Hillerød Fodbold;;
SJF;Sønderjyske Fodbold;R;
KIF;Kolding IF;R;
VEN;Vendsyssel FF;;
