"filename", "language", "C#", "CSV", "comment", "blank", "total"
"c:\KEA\VSC_projects\cs projects\football\CSV-files\D1\setup.csv", "CSV", 0, -1, 0, 0, -1
"c:\KEA\VSC_projects\cs projects\football\DataHandler.cs", "C#", 65, 0, 4, 7, 76
"c:\KEA\VSC_projects\cs projects\football\League.cs", "C#", 18, 0, 0, 2, 20
"c:\KEA\VSC_projects\cs projects\football\Program.cs", "C#", -8, 0, 18, 6, 16
"c:\KEA\VSC_projects\cs projects\football\Setup.cs", "C#", 3, 0, 1, -1, 3
"c:\KEA\VSC_projects\cs projects\football\TableData.cs", "C#", 3, 0, 0, 1, 4
"c:\KEA\VSC_projects\cs projects\football\Team.cs", "C#", 19, 0, 0, 1, 20
"Total", "-", 100, -1, 23, 16, 138
