LBK;AGF;5-0;Other data;
FCK;BIF;2-1;Other data;
FCM;HIF;2-1;Other data;
VB;FCN;0-2;Other data;
RFC;OB;0-0;Other data;
VFF;SIF;0-2;Other data;
