AB;AB Gladsaxe;;
AAF;Aarhus Fremad;P;
BRA;Braband IF;;
EFB;Esbjerg fB;D;
FA2;FA 2000;;
FCR;FC Roskilde;P;
FAM;Fremad Amager;D;
HIK;HIK;;
MID;Middlefart Boldklub;;
NFC;Nykøbing FC;;
SIK;Skive IK;;
THI;Thisted FC;;
