IFL;IF Lyseng;;
YBO;Young Boys FD;;
ISH;Ishøj IF;P;
OFA;SfB-Oure FA;P;
VEJ;Vejgaard Boldspilklub;;
AVA;Boldklubben Avarta;;
VSK;VSK Aarhus;;
NÆS;Næsby BK;;
HB;Holsterbro BK;P;
VIF;Vanløse IF;;
FRE;BK Frem;R;
HBI;Holbæk B&I;;
